CatalogKey,CatalogPosition,ItemNumber,ColorCode
ALL,1,ANGLERCFB,5KF
ALL,1,ANN210010,210
ALL,1,ANN210011,210
ALL,1,ANN210030,210
ALL,1,ANN210031,210
ALL,1,ANN210112,210
ALL,1,ANN210113,210
ALL,1,ANN210132,210
ALL,1,ANN210133,210
ALL,1,ANN210616,210
ALL,1,ANN210636,210
ALL,1,ANN210714,210
ALL,1,ANN210734,210
ALL,1,ANN210N10,210
ALL,1,ANN210N30,210
ALL,1,ANN3A1010,3A1
ALL,1,ANN3A1011,3A1
ALL,1,ANN3A1030,3A1
ALL,1,ANN3A1031,3A1
ALL,1,ANN3A1112,3A1
ALL,1,ANN3A1113,3A1
ALL,1,ANN3A1132,3A1
ALL,1,ANN3A1133,3A1
ALL,1,ANN3A1616,3A1
ALL,1,ANN3A1636,3A1
ALL,1,ANN3A1714,3A1
ALL,1,ANN3A1734,3A1
ALL,1,ANN3A1N10,3A1
ALL,1,ANN3A1N30,3A1
ALL,1,ANN51M010,51M
ALL,1,ANN51M011,51M
ALL,1,ANN51M030,51M
ALL,1,ANN51M031,51M
ALL,1,ANN51M112,51M
ALL,1,ANN51M113,51M
ALL,1,ANN51M132,51M
ALL,1,ANN51M133,51M
ALL,1,ANN51M616,51M
ALL,1,ANN51M636,51M
ALL,1,ANN51M714,51M
ALL,1,ANN51M734,51M
ALL,1,ANN51MN10,51M
ALL,1,ANN51MN30,51M
ALL,1,ANN9EN010,9EN
ALL,1,ANN9EN011,9EN
ALL,1,ANN9EN030,9EN
ALL,1,ANN9EN031,9EN
ALL,1,ANN9EN112,9EN
ALL,1,ANN9EN113,9EN
ALL,1,ANN9EN132,9EN
ALL,1,ANN9EN133,9EN
ALL,1,ANN9EN616,9EN
ALL,1,ANN9EN636,9EN
ALL,1,ANN9EN714,9EN
ALL,1,ANN9EN734,9EN
ALL,1,ANN9ENN10,9EN
ALL,1,ANN9ENN30,9EN
ALL,1,BAL081010,081
ALL,1,BAL081011,081
ALL,1,BAL081030,081
ALL,1,BAL081031,081
ALL,1,BAL081112,081
ALL,1,BAL081113,081
ALL,1,BAL081132,081
ALL,1,BAL081133,081
ALL,1,BAL081616,081
ALL,1,BAL081636,081
ALL,1,BAL081714,081
ALL,1,BAL081734,081
ALL,1,BAL081N10,081
ALL,1,BAL081N30,081
ALL,1,BAL111010,111
ALL,1,BAL111011,111
ALL,1,BAL111030,111
ALL,1,BAL111031,111
ALL,1,BAL111112,111
ALL,1,BAL111113,111
ALL,1,BAL111132,111
ALL,1,BAL111133,111
ALL,1,BAL111616,111
ALL,1,BAL111636,111
ALL,1,BAL111714,111
ALL,1,BAL111734,111
ALL,1,BAL111N10,111
ALL,1,BAL111N30,111
ALL,1,BAL220010,220
ALL,1,BAL220011,220
ALL,1,BAL220030,220
ALL,1,BAL220031,220
ALL,1,BAL220112,220
ALL,1,BAL220113,220
ALL,1,BAL220132,220
ALL,1,BAL220133,220
ALL,1,BAL220616,220
ALL,1,BAL220636,220
ALL,1,BAL220714,220
ALL,1,BAL220734,220
ALL,1,BAL220N10,220
ALL,1,BAL220N30,220
ALL,1,BAL424010,424
ALL,1,BAL424011,424
ALL,1,BAL424030,424
ALL,1,BAL424031,424
ALL,1,BAL424112,424
ALL,1,BAL424113,424
ALL,1,BAL424132,424
ALL,1,BAL424133,424
ALL,1,BAL424616,424
ALL,1,BAL424636,424
ALL,1,BAL424714,424
ALL,1,BAL424734,424
ALL,1,BAL424N10,424
ALL,1,BAL424N30,424
ALL,1,BALLYHOOCFB,7KA
ALL,1,BASSLSBPRF,0KA
ALL,1,BASSLSBPRF,0KA
ALL,1,BASSLSBPRF,0KA
ALL,1,BASSLSBPRF,0KA
ALL,1,BASSLSBPRF,0KA
ALL,1,BASSLSBPRF,0KA
ALL,1,BLGILLTHX,0AC
ALL,1,BOATKOOZIE,3KA
ALL,1,BONEFISHCFB,0KA
ALL,1,BRKINGPATCH,7LA
ALL,1,CAB111000,111
ALL,1,CAB111001,111
ALL,1,CAB111020,111
ALL,1,CAB111021,111
ALL,1,CAB111102,111
ALL,1,CAB111103,111
ALL,1,CAB111122,111
ALL,1,CAB111123,111
ALL,1,CAB111606,111
ALL,1,CAB111626,111
ALL,1,CAB111704,111
ALL,1,CAB111724,111
ALL,1,CAB111N00,111
ALL,1,CAB111N20,111
ALL,1,CAB115000,115
ALL,1,CAB115001,115
ALL,1,CAB115020,115
ALL,1,CAB115021,115
ALL,1,CAB115102,115
ALL,1,CAB115103,115
ALL,1,CAB115122,115
ALL,1,CAB115123,115
ALL,1,CAB115606,115
ALL,1,CAB115626,115
ALL,1,CAB115704,115
ALL,1,CAB115724,115
ALL,1,CAB115N00,115
ALL,1,CAB115N20,115
ALL,1,CAB17M000,17M
ALL,1,CAB17M001,17M
ALL,1,CAB17M020,17M
ALL,1,CAB17M021,17M
ALL,1,CAB17M102,17M
ALL,1,CAB17M103,17M
ALL,1,CAB17M122,17M
ALL,1,CAB17M123,17M
ALL,1,CAB17M606,17M
ALL,1,CAB17M626,17M
ALL,1,CAB17M704,17M
ALL,1,CAB17M724,17M
ALL,1,CAB17MN00,17M
ALL,1,CAB17MN20,17M
ALL,1,CAB220000,220
ALL,1,CAB220001,220
ALL,1,CAB220020,220
ALL,1,CAB220021,220
ALL,1,CAB220102,220
ALL,1,CAB220103,220
ALL,1,CAB220122,220
ALL,1,CAB220123,220
ALL,1,CAB220606,220
ALL,1,CAB220626,220
ALL,1,CAB220704,220
ALL,1,CAB220724,220
ALL,1,CAB220N00,220
ALL,1,CAB220N20,220
ALL,1,CAL141000,141
ALL,1,CAL141001,141
ALL,1,CAL141020,141
ALL,1,CAL141021,141
ALL,1,CAL141102,141
ALL,1,CAL141103,141
ALL,1,CAL141122,141
ALL,1,CAL141123,141
ALL,1,CAL141606,141
ALL,1,CAL141626,141
ALL,1,CAL141704,141
ALL,1,CAL141724,141
ALL,1,CAL141N00,141
ALL,1,CAL141N20,141
ALL,1,CAL220000,220
ALL,1,CAL220001,220
ALL,1,CAL220020,220
ALL,1,CAL220021,220
ALL,1,CAL220102,220
ALL,1,CAL220103,220
ALL,1,CAL220122,220
ALL,1,CAL220123,220
ALL,1,CAL220606,220
ALL,1,CAL220626,220
ALL,1,CAL220704,220
ALL,1,CAL220724,220
ALL,1,CAL220N00,220
ALL,1,CAL220N20,220
ALL,1,CAL413000,413
ALL,1,CAL413001,413
ALL,1,CAL413020,413
ALL,1,CAL413021,413
ALL,1,CAL413102,413
ALL,1,CAL413103,413
ALL,1,CAL413122,413
ALL,1,CAL413123,413
ALL,1,CAL413606,413
ALL,1,CAL413626,413
ALL,1,CAL413704,413
ALL,1,CAL413724,413
ALL,1,CAL413N00,413
ALL,1,CAL413N20,413
ALL,1,CAL41H000,41H
ALL,1,CAL41H001,41H
ALL,1,CAL41H020,41H
ALL,1,CAL41H021,41H
ALL,1,CAL41H102,41H
ALL,1,CAL41H103,41H
ALL,1,CAL41H122,41H
ALL,1,CAL41H123,41H
ALL,1,CAL41H606,41H
ALL,1,CAL41H626,41H
ALL,1,CAL41H704,41H
ALL,1,CAL41H724,41H
ALL,1,CAL41HN00,41H
ALL,1,CAL41HN20,41H
ALL,1,CAL9EN000,9EN
ALL,1,CAL9EN001,9EN
ALL,1,CAL9EN020,9EN
ALL,1,CAL9EN021,9EN
ALL,1,CAL9EN102,9EN
ALL,1,CAL9EN103,9EN
ALL,1,CAL9EN122,9EN
ALL,1,CAL9EN123,9EN
ALL,1,CAL9EN606,9EN
ALL,1,CAL9EN626,9EN
ALL,1,CAL9EN704,9EN
ALL,1,CAL9EN724,9EN
ALL,1,CAL9ENN00,9EN
ALL,1,CAL9ENN20,9EN
ALL,1,CARPPH,9BC
ALL,1,CATFISHPH,8KC
ALL,1,CHE141000,141
ALL,1,CHE141001,141
ALL,1,CHE141020,141
ALL,1,CHE141021,141
ALL,1,CHE141102,141
ALL,1,CHE141103,141
ALL,1,CHE141122,141
ALL,1,CHE141123,141
ALL,1,CHE141606,141
ALL,1,CHE141626,141
ALL,1,CHE141704,141
ALL,1,CHE141724,141
ALL,1,CHE141N00,141
ALL,1,CHE141N20,141
ALL,1,CHE51N000,51N
ALL,1,CHE51N001,51N
ALL,1,CHE51N020,51N
ALL,1,CHE51N021,51N
ALL,1,CHE51N102,51N
ALL,1,CHE51N103,51N
ALL,1,CHE51N122,51N
ALL,1,CHE51N123,51N
ALL,1,CHE51N606,51N
ALL,1,CHE51N626,51N
ALL,1,CHE51N704,51N
ALL,1,CHE51N724,51N
ALL,1,CHE51NN00,51N
ALL,1,CHE51NN20,51N
ALL,1,CHE54B000,54B
ALL,1,CHE54B001,54B
ALL,1,CHE54B020,54B
ALL,1,CHE54B021,54B
ALL,1,CHE54B102,54B
ALL,1,CHE54B103,54B
ALL,1,CHE54B122,54B
ALL,1,CHE54B123,54B
ALL,1,CHE54B606,54B
ALL,1,CHE54B626,54B
ALL,1,CHE54B704,54B
ALL,1,CHE54B724,54B
ALL,1,CHE54BN00,54B
ALL,1,CHE54BN20,54B
ALL,1,CHE640000,640
ALL,1,CHE640001,640
ALL,1,CHE640020,640
ALL,1,CHE640021,640
ALL,1,CHE640102,640
ALL,1,CHE640103,640
ALL,1,CHE640122,640
ALL,1,CHE640123,640
ALL,1,CHE640606,640
ALL,1,CHE640626,640
ALL,1,CHE640704,640
ALL,1,CHE640724,640
ALL,1,CHE640N00,640
ALL,1,CHE640N20,640
ALL,1,CHE75O000,75O
ALL,1,CHE75O001,75O
ALL,1,CHE75O020,75O
ALL,1,CHE75O021,75O
ALL,1,CHE75O102,75O
ALL,1,CHE75O103,75O
ALL,1,CHE75O122,75O
ALL,1,CHE75O123,75O
ALL,1,CHE75O606,75O
ALL,1,CHE75O626,75O
ALL,1,CHE75O704,75O
ALL,1,CHE75O724,75O
ALL,1,CHE75ON00,75O
ALL,1,CHE75ON20,75O
ALL,1,CHE77M000,77M
ALL,1,CHE77M001,77M
ALL,1,CHE77M020,77M
ALL,1,CHE77M021,77M
ALL,1,CHE77M102,77M
ALL,1,CHE77M103,77M
