SoldToID,ShipToID,FieldName,FieldValue
1000020,,drop_ship,N
1000021,,drop_ship,N
1000022,,drop_ship,N
1000024,,drop_ship,N
1000030,,drop_ship,N
1000128,,drop_ship,N
1000144,,drop_ship,N
1000145,,drop_ship,N
1000189,,drop_ship,N
1000203,,drop_ship,Y
1000208,,drop_ship,N
1000209,,drop_ship,N
1000211,,drop_ship,N
1000212,,drop_ship,N
1000213,,drop_ship,N
1000214,,drop_ship,N
1000223,,drop_ship,N
1000225,,drop_ship,N
1000264,,drop_ship,N
1000265,,drop_ship,N
1000092,,drop_ship,N
1000114,,drop_ship,N
1000115,,drop_ship,N
1000124,,drop_ship,N
1000164,,drop_ship,N
1000232,,drop_ship,N
1000233,,drop_ship,N
1000266,,drop_ship,N
1000267,,drop_ship,N
1000268,,drop_ship,N
1000269,,drop_ship,N
1000001,,drop_ship,N
1000003,,drop_ship,N
1000006,,drop_ship,N
1000007,,drop_ship,N
1000008,,drop_ship,N
1000053,,drop_ship,Y
1000078,,drop_ship,N
1000087,,drop_ship,N
1000088,,drop_ship,N
1000093,,drop_ship,N
1000099,,drop_ship,N
1000107,,drop_ship,N
1000111,,drop_ship,N
1000009,,drop_ship,N
1000010,,drop_ship,N
1000011,,drop_ship,N
1000012,,drop_ship,N
1000013,,drop_ship,N
1000014,,drop_ship,N
1000015,,drop_ship,N
1000016,,drop_ship,N
1000017,,drop_ship,N
1000018,,drop_ship,N
1000019,,drop_ship,N
1000084,,drop_ship,N
1000094,,drop_ship,N
1000105,,drop_ship,N
1000106,,drop_ship,Y
1000120,,drop_ship,N
1000123,,drop_ship,N
1000126,,drop_ship,N
1000152,,drop_ship,N
1000153,,drop_ship,N
1000161,,drop_ship,N
1000162,,drop_ship,N
1000167,,drop_ship,N
1000184,,drop_ship,N
1000227,,drop_ship,N
1000245,,drop_ship,N
1000246,,drop_ship,N
1000247,,drop_ship,N
1000248,,drop_ship,N
1000047,,drop_ship,Y
1000048,,drop_ship,Y
1000049,,drop_ship,Y
1000056,,drop_ship,N
1000057,,drop_ship,N
1000058,,drop_ship,N
1000059,,drop_ship,N
1000060,,drop_ship,N
1000061,,drop_ship,N
1000062,,drop_ship,N
