ProductPermissionGroup,CatalogPermissionGroup,Region,SoldToID,SoldToName,CurrencyCode,PriceGroup,AccessKey,Address1,Address2,Address3,City,State,PostalCode,Country,Warehouse,Language
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000020,JEFF WESTGARD - SAMPLE ACCOUNT HM6,USD,E,1000020elast,1100 TRAPPER COURT,,,LINO LAKES,MN,55038,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000021,RYAN HOHL - SAMPLE ACCOUNT HM7,USD,E,1000021elast,24 MINNIE CT.,,,OLD MONROE,MO,63369,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000022,CHARLIE KIESA - SAMPLE ACCOUNT CK1,USD,E,1000022elast,1505 SOUTH WANAMASSA DRIVE,,,OCEAN,NJ,07712,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000024,JUSTIN STERNER - SAMPLE ACCOUNT JS1,USD,E,1000024elast,282 SLAYTON FARM ROAD,,,STOWE,VT,05672,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000030,STEVE JOHNSON - SAMPLE ACCOUNT,USD,E,1000030elast,4855 PRIVATE ROAD 192,,,ELIZABETH,CO,80107,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000128,FLORIDA CRACKER HOLDINGS - BROOKSVILLE,USD,D,1000128elast,924 E. JEFFERSON ST.,,,BROOKSVILLE,FL,34601,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000144,THE BOATHOUSE,USD,D,1000144elast,405 SQUIRE POPE ROAD,,,HILTON HEAD,SC,29926,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000145,TRADER BILL'S OUTDOORS,USD,D,1000145elast,1530 ALBERT PIKE,,,HOT SPRINGS,AR,71913,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000189,FABIO APUY CHENG,USD,D,1000189elast,P.O. BOX 25331,SJO-333813,,MIAMI,FL,33102,USA,DEFAULT,EN
DEFAULT,DEFAULT,GLOBAL,1000203,INVESTOR - PROMOTIONAL ACCOUNT,USD,PL,1000203elast,1674 TIONIA ROAD,,,NEW SMYRNA BEACH,FL,32168,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000208,SUMMER SURF SHOP,USD,D,1000208elast,800 MTS NORTH OF ESCUELA LA GUARIA,BARRANCA,,PUNTARENAS,NA,60108,COSTA RICA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000209,GUNTERSVILLE TACKLE & OUTDOOR LLC,USD,D,1000209elast,3760 AL HWY 69,,,GUNTERSVILLE,AL,35976,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000211,HOWELL TACKLE SUPPLY,USD,D,1000211elast,3100 W HIGHWAY 98,,,PANAMA CITY,FL,32401,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000212,THE CANOE HOUSE LLC,USD,D,1000212elast,608 BROAD STREET,,,ROME,GA,30161,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000213,SPORT & COURT INC,USD,D,1000213elast,9917 ORR AND DAY RD,DBA SAV ON TACKLE,,SANTA FE SPRINGS,CA,90670,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000214,RICHARDS TACKLE,USD,LP,1000214elast,3365 WALNUT GROVE AVENUE,#A,,ROSEMEAD,CA,91770,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000223,RYAN PATRICK  T1,USD,D,1000223elast,642 SUMMIT PLACE,,,BRIELLE,NJ,08730,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000225,APALACH OUTFITTERS,USD,D,1000225elast,32 AVENUE D,,,APALACHICOLA,FL,32320,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000264,THE FLY ROD SHOP,USD,D,1000264elast,2703 WATERBURY ROAD,,,STOWE,VT,05672,USA,DEFAULT,EN
