SoldToID,ShipToID,ShipToName,Address1,Address2,Address3,City,State,PostalCode,Country
1000081,SAME,"MUD HOLE CUSTOM TACKLE, I",2133 COMPONENT LOOP,,,OVIEDO,FL,32765,USA
1000082,SAME,SODIUM FISHING GEAR,7763 GULF TO LAKE HWY,,,CRYSTAL RIVER,FL,34429,USA
1000143,SAME,ASCENSION LIVING & OUTDOO,202 W. ASCENSION ST.,,,GONZALES,LA,70737,USA
1000281,SAME,SUNGLASS WORLD OF NW FL -,2403 JENKS AVE,,,PANAMA CITY,FL,32405,USA
1000281,STORE,SUNGLASS WORLD OF NW FL - GREENVILLE,700 HAYWOOD RD.,SUITE 2102,,GREENVILLE,SC,29607,USA
1000342,SAME,KE OLA,171 CALLE DR. M SALAS,,,ARECIBO,PR,00612,PUERTO RICO
1000310,FORWARDER,LA CUBANA,10100 NW 116TH WAY,#14,,MEDLEY,FL,33178,USA
1000371,SAME,THE FLORIDA ANGLER  (T2),786 W. MONTROSE ST.,,,CLERMONT,FL,34711,USA
1000344,SAME,SUSUMU'S FISHING TACKLE (,74-5084 HALEOLONO STREET,,,KAILUA KONA,HI,96740,USA
1000373,SAME,LOWER KEYS TACKLE,29770 OVERSEAS HWY,,,BIG PINE KEY,FL,33043,USA
1000527,SAME,FOREST TEK LUMBER,88521 OVERSEAS HIGHWAY,,,TAVANIER,FL,33070,USA
1000531,SAME,SANTE MARINE PROPELLER,4417 DETROIT AVE.,,,CLEVELAND,OH,44113,USA
1000535,SAME,OPHIUROIDEA,110 CHANNEL MARKER WAY,,,GRASONVILLE,MD,21638,USA
1000535,STMICHAELS,OPHIUROIDEA,100 S. TALBOT STREET,,,ST. MICHAELS,MD,21663,USA
1000550,SAME,CLEAR H2O TACKLE,69037 CHRISTIANA LAKE RD.,,,EDWARDSBURG,MI,49112,USA
1000620,SHIPTO,FLYFISH EUROPE AS C/O REDWOOD FULFILMENT,SIKKEL17,,,KK HEINENOORD,,3274,NETHERLANDS
1000665,SAME,CREEKSIDE OUTFITTERS,403 ROUTE 9,,,WARETOWN,NJ,08758,USA
1000666,SAME,GARRETT EYE CLINIC,2012 E SHILOH ROAD,,,CORINTH,MS,38834,USA
1000728,SAME,THE EYE CLINIC OF FLORIDA,6739 GALL BLVD.,,,ZEPHYRHILLS,FL,33542,USA
1000788,SAME,HOLLY FLIES/PRECISION FLY,502 N BALTIMORE AVE STE B-1,,,MT HOLLY SPRINGS,PA,17065,USA
