ERPOrderType,ERPOrderNumber,ERPLineNumber,ElasticOrderNumber,CustomerPO,SoldToId,SoldToName,ShipToId,ShipToName,ProductNumber,ProductName,VariationCode,VariationName,SizeName,UPC,Status,Price,Amount,Quantity,Term_Code_Description,OrderDate,ShipDate,InvoiceDate,InvoiceNumber,CarrierCode,TrackingNumber,Header Status,CurrencyCode
SO,97396,1,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,SIG141011,SIG BRNTORTG BMG,"141",BROWN  TORT G,MEDIUM,"840290919664",SHIP,97.12,485.6,5,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,2,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,SIG141112,SIG BRNTORTG GMG,"141",BROWN  TORT G,MEDIUM,"840290919671",SHIP,97.12,485.6,5,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,3,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,SIG141714,SIG BRNTORTG RMG,"141",BROWN  TORT G,MEDIUM,"840290919695",SHIP,97.12,485.6,5,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,4,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,SIG141616,SIG BRNTORTG VMG,"141",BROWN  TORT G,MEDIUM,"840290919701",SHIP,97.12,485.6,5,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,5,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,SIG141N10,SIG BRNTORTG CG,"141",BROWN  TORT G,MEDIUM,"840290919732",SHIP,97.12,485.6,5,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,6,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,SIG210031,SIG BLACK GLOSS BMP,"210",BLACK GLOSS,MEDIUM,"840290919329",SHIP,78.37,391.85,5,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,7,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,SIG210132,SIG BLACK GLOSS GMP,"210",BLACK GLOSS,MEDIUM,"840290919336",SHIP,78.37,391.85,5,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,8,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,SIG210734,SIG BLACK GLOSS RMP,"210",BLACK GLOSS,MEDIUM,"840290919350",SHIP,78.37,391.85,5,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,9,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,SIG210636,SIG BLACK GLOSS VMP,"210",BLACK GLOSS,MEDIUM,"840290919367",SHIP,78.37,391.85,5,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,10,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,SIG210N30,SIG BLACK GLOSS CP,"210",BLACK GLOSS,MEDIUM,"840290919305",SHIP,78.37,391.85,5,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,11,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,BAL111830200,BALBRWNTORTGYP200,"111",BROWN TORT G,LARGE,"840290940835",SHIP,85.87,3434.8,40,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,12,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,BAL111830250,BALBRWNTORTGYP250,"111",BROWN TORT G,LARGE,"840290940842",SHIP,85.87,3434.8,40,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,13,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,VEG220830150,VEGABLKMYP150,"220",BLACK MATTE,LARGE,"840290940866",SHIP,85.87,1717.4,20,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,14,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,VEG220830200,VEGABLKMYP200,"220",BLACK MATTE,LARGE,"840290940873",SHIP,85.87,3434.8,40,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,15,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,VEG220830250,VEGABLKMYP250,"220",BLACK MATTE,LARGE,"840290940880",SHIP,85.87,3434.8,40,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,16,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,VEG220830,VEGABLKMYP,"220",BLACK MATTE,LARGE,"840290940859",SHIP,78.37,5877.75,75,NET 60,"20250128","20250128","20250602",12-Feb-1990,HNDELIVER,,SHIP,USD
SO,97396,17,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,STI220830,STIBLKMYP,"220",BLACK MATTE,XLARGE,"840290940897",SHIP,78.37,3918.5,50,NET 60,"20250128","20250128","20250602",12-Feb-1990,HNDELIVER,,SHIP,USD
SO,97396,18,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,PIE121830,PIEBRWNTORTMYP,"121",BROWN TORT M,MEDIUM,"840290940903",SHIP,78.37,2351.1,30,NET 60,"20250128","20250128","20250602",12-Feb-1990,HNDELIVER,,SHIP,USD
SO,97396,19,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,BAL111830150,BALBRWNTORTGYP150,"111",BROWN TORT G,LARGE,"840290940828",SHIP,85.87,1717.4,20,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,20,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,GRE220616,GRE BLKMVMG,"220",BLACK MATTE,LARGE,"840290938788",SHIP,97.12,194.24,2,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,21,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,PAR771606,PAR VIVO TORT GLOSS VM G,"771",PINK TORT GLOSS,SMALL,"840290917516",SHIP,97.12,97.12,1,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,22,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,TWE115606,TWE WHISKFDG VMG,"115",WHISKEYFADEG,LARGE,"840290920400",SHIP,97.12,194.24,2,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,23,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,TWE210606,TWE BLKG VMG,"210",BLACK GLOSS,LARGE,"840290920127",SHIP,97.12,485.6,5,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
SO,97396,24,,2025 ORDER,"1000620",FLYFISH EUROPE,SAME,FLYFISH EUROPE,TWE57O606,TWE BLUESKYG VMG,57O,BLUE SKY GLOSS,LARGE,"840290935145",SHIP,97.12,97.12,1,NET 60,"20250128","20250128","20250512",14-Sep-1988,HNDELIVER,,SHIP,USD
