CatalogKey,StockItemKey,PriceGroup,CurrencyCode,Price,Retail
ALL,810070826758,LP,USD,80.0,259.0
ALL,810070826765,LP,USD,80.0,259.0
ALL,810070826772,LP,USD,80.0,259.0
ALL,810070826796,LP,USD,67.5,209.0
ALL,810070826802,LP,USD,67.5,209.0
ALL,810070826819,LP,USD,67.5,209.0
ALL,810070826826,LP,USD,67.5,209.0
ALL,810070826833,LP,USD,67.5,209.0
ALL,810070826840,LP,USD,67.5,209.0
ALL,810070826857,LP,USD,80.0,259.0
ALL,810070826864,LP,USD,80.0,259.0
ALL,810070826871,LP,USD,80.0,259.0
ALL,810070826888,LP,USD,80.0,259.0
ALL,810070826901,LP,USD,67.5,209.0
ALL,810070826918,LP,USD,67.5,209.0
ALL,810070826925,LP,USD,67.5,209.0
ALL,810070826932,LP,USD,67.5,209.0
ALL,810070820282,LP,USD,109.5,219.0
ALL,810070820299,LP,USD,109.5,219.0
ALL,810070820305,LP,USD,109.5,219.0
ALL,810070825614,LP,USD,134.5,269.0
ALL,810070825713,LP,USD,134.5,269.0
ALL,810070825706,LP,USD,134.5,269.0
ALL,810070825805,LP,USD,134.5,269.0
ALL,810070827052,LP,USD,80.0,259.0
ALL,810070827069,LP,USD,80.0,259.0
ALL,810070827083,LP,USD,80.0,259.0
ALL,810070827090,LP,USD,67.5,209.0
ALL,810070827106,LP,USD,67.5,209.0
ALL,810070827120,LP,USD,67.5,209.0
ALL,810070827137,LP,USD,67.5,209.0
ALL,810070827144,LP,USD,67.5,209.0
ALL,810070827168,LP,USD,80.0,259.0
ALL,810070827175,LP,USD,80.0,259.0
ALL,810070827199,LP,USD,67.5,209.0
ALL,810070827205,LP,USD,67.5,209.0
ALL,810070827212,LP,USD,67.5,209.0
ALL,810070827229,LP,USD,67.5,209.0
ALL,810070827236,LP,USD,67.5,209.0
ALL,810070827243,LP,USD,67.5,209.0
ALL,840290901720,LP,USD,22.0,44.0
ALL,840290901737,LP,USD,22.0,44.0
ALL,840290901744,LP,USD,22.0,44.0
ALL,840290901751,LP,USD,22.0,44.0
ALL,840290901768,LP,USD,22.0,44.0
ALL,840290901775,LP,USD,22.0,44.0
ALL,810070823931,LP,USD,22.0,44.0
ALL,810070823948,LP,USD,22.0,44.0
ALL,810070823955,LP,USD,22.0,44.0
ALL,810070823962,LP,USD,22.0,44.0
ALL,810070823979,LP,USD,22.0,44.0
ALL,810070823986,LP,USD,22.0,44.0
ALL,810070823993,LP,USD,22.0,44.0
ALL,810070824006,LP,USD,22.0,44.0
ALL,810070824013,LP,USD,22.0,44.0
ALL,810070824020,LP,USD,22.0,44.0
ALL,810070824037,LP,USD,22.0,44.0
ALL,810070824044,LP,USD,22.0,44.0
ALL,810070824112,LP,USD,17.0,34.0
ALL,810070824129,LP,USD,17.0,34.0
ALL,810070824136,LP,USD,17.0,34.0
ALL,810070824143,LP,USD,17.0,34.0
ALL,810070824150,LP,USD,17.0,34.0
ALL,810070824167,LP,USD,17.0,34.0
ALL,810070824051,LP,USD,17.0,34.0
ALL,810070824068,LP,USD,17.0,34.0
ALL,810070824075,LP,USD,17.0,34.0
ALL,810070824082,LP,USD,17.0,34.0
ALL,810070824099,LP,USD,17.0,34.0
ALL,810070824105,LP,USD,17.0,34.0
ALL,840290900945,LP,USD,17.0,34.0
ALL,840290900952,LP,USD,17.0,34.0
ALL,840290900969,LP,USD,17.0,34.0
ALL,840290900976,LP,USD,17.0,34.0
ALL,840290900983,LP,USD,17.0,34.0
ALL,840290900990,LP,USD,17.0,34.0
ALL,810070825898,LP,USD,134.5,269.0
ALL,810070825911,LP,USD,134.5,269.0
ALL,810070825904,LP,USD,134.5,269.0
ALL,840290902246,LP,USD,134.5,269.0
ALL,840290902253,LP,USD,134.5,269.0
ALL,810070827373,LP,USD,80.0,259.0
ALL,810070827380,LP,USD,80.0,259.0
ALL,810070827403,LP,USD,67.5,209.0
ALL,810070827410,LP,USD,67.5,209.0
ALL,810070827427,LP,USD,67.5,209.0
ALL,810070827434,LP,USD,67.5,209.0
ALL,810070827441,LP,USD,67.5,209.0
ALL,810070827458,LP,USD,80.0,259.0
ALL,810070827465,LP,USD,80.0,259.0
ALL,810070827472,LP,USD,80.0,259.0
ALL,810070827489,LP,USD,80.0,259.0
ALL,810070827496,LP,USD,67.5,209.0
ALL,810070827519,LP,USD,67.5,209.0
ALL,810070827526,LP,USD,67.5,209.0
ALL,810070827533,LP,USD,67.5,209.0
ALL,810070821111,LP,USD,134.5,269.0
ALL,810070821128,LP,USD,134.5,269.0
ALL,810070821135,LP,USD,109.5,219.0
ALL,810070821142,LP,USD,109.5,219.0
ALL,810070821159,LP,USD,134.5,269.0
ALL,810070821166,LP,USD,134.5,269.0
ALL,810070821173,LP,USD,109.5,219.0
ALL,840290902352,LP,USD,80.0,259.0
ALL,840290902369,LP,USD,134.5,269.0
ALL,840290902383,LP,USD,134.5,269.0
ALL,840290902468,LP,USD,80.0,259.0
ALL,840290902482,LP,USD,80.0,259.0
ALL,810070827540,LP,USD,67.5,209.0
ALL,810070821180,LP,USD,109.5,219.0
ALL,810070821197,LP,USD,109.5,219.0
ALL,810070821203,LP,USD,109.5,219.0
ALL,810070821012,LP,USD,134.5,269.0
ALL,810070821036,LP,USD,109.5,219.0
ALL,810070821043,LP,USD,109.5,219.0
ALL,810070821074,LP,USD,109.5,219.0
ALL,810070821081,LP,USD,109.5,219.0
ALL,810070821098,LP,USD,109.5,219.0
ALL,810070821104,LP,USD,109.5,219.0
ALL,840290902512,LP,USD,80.0,259.0
ALL,840290902581,LP,USD,134.5,269.0
ALL,840290902666,LP,USD,80.0,259.0
ALL,840290902673,LP,USD,80.0,259.0
ALL,840290902697,LP,USD,80.0,259.0
ALL,840290902703,LP,USD,80.0,259.0
ALL,840290902727,LP,USD,134.5,269.0
ALL,840290902734,LP,USD,134.5,269.0
ALL,810070828479,LP,USD,80.0,259.0
ALL,810070828486,LP,USD,80.0,259.0
ALL,810070828493,LP,USD,80.0,259.0
ALL,810070828516,LP,USD,67.5,209.0
ALL,810070828523,LP,USD,67.5,209.0
ALL,810070828530,LP,USD,67.5,209.0
ALL,810070828547,LP,USD,67.5,209.0
ALL,810070828554,LP,USD,67.5,209.0
ALL,810070828561,LP,USD,80.0,259.0
ALL,810070828578,LP,USD,80.0,259.0
ALL,810070828585,LP,USD,80.0,259.0
ALL,810070828592,LP,USD,80.0,259.0
ALL,810070828608,LP,USD,67.5,209.0
ALL,810070828615,LP,USD,67.5,209.0
ALL,810070828622,LP,USD,67.5,209.0
ALL,810070828639,LP,USD,67.5,209.0
ALL,840290902772,LP,USD,134.5,269.0
ALL,840290902789,LP,USD,134.5,269.0
ALL,840290902796,LP,USD,134.5,269.0
ALL,840290902802,LP,USD,134.5,269.0
ALL,840290907234,LP,USD,109.5,219.0
ALL,840290907241,LP,USD,109.5,219.0
ALL,840290907258,LP,USD,109.5,219.0
ALL,840290907265,LP,USD,80.0,259.0
ALL,840290907272,LP,USD,80.0,259.0
ALL,840290908446,LP,USD,80.0,259.0
ALL,840290907289,LP,USD,80.0,259.0
ALL,840290907296,LP,USD,80.0,259.0
ALL,810070828646,LP,USD,67.5,209.0
ALL,810070828653,LP,USD,67.5,209.0
ALL,810070828769,LP,USD,134.5,269.0
ALL,810070828776,LP,USD,134.5,269.0
ALL,810070828783,LP,USD,134.5,269.0
ALL,810070828790,LP,USD,134.5,269.0
ALL,810070828813,LP,USD,109.5,219.0
ALL,810070828820,LP,USD,109.5,219.0
ALL,810070828837,LP,USD,109.5,219.0
ALL,810070828844,LP,USD,109.5,219.0
ALL,810070828868,LP,USD,80.0,259.0
ALL,810070828875,LP,USD,80.0,259.0
ALL,810070828882,LP,USD,80.0,259.0
ALL,810070828905,LP,USD,67.5,209.0
ALL,840290907753,LP,USD,109.5,219.0
ALL,840290907760,LP,USD,109.5,219.0
ALL,840290907777,LP,USD,134.5,269.0
ALL,840290907784,LP,USD,134.5,269.0
ALL,840290907791,LP,USD,134.5,269.0
ALL,840290907807,LP,USD,134.5,269.0
ALL,840290907814,LP,USD,134.5,269.0
ALL,840290907821,LP,USD,109.5,219.0
ALL,840290907838,LP,USD,109.5,219.0
ALL,840290907845,LP,USD,134.5,269.0
ALL,840290907852,LP,USD,109.5,219.0
ALL,840290907869,LP,USD,109.5,219.0
ALL,840290907876,LP,USD,109.5,219.0
ALL,840290907883,LP,USD,109.5,219.0
ALL,840290907890,LP,USD,109.5,219.0
ALL,840290907906,LP,USD,80.0,259.0
ALL,840290907913,LP,USD,80.0,259.0
ALL,840290907920,LP,USD,80.0,259.0
ALL,840290907937,LP,USD,80.0,259.0
ALL,840290907944,LP,USD,80.0,259.0
ALL,840290907951,LP,USD,67.5,209.0
ALL,810070828912,LP,USD,67.5,209.0
ALL,810070828929,LP,USD,67.5,209.0
ALL,810070828936,LP,USD,67.5,209.0
ALL,810070828943,LP,USD,67.5,209.0
ALL,810070828950,LP,USD,67.5,209.0
ALL,810070821968,LP,USD,134.5,269.0
ALL,810070821975,LP,USD,134.5,269.0
ALL,810070821982,LP,USD,109.5,219.0
ALL,810070821999,LP,USD,109.5,219.0
ALL,810070822002,LP,USD,134.5,269.0
ALL,810070822019,LP,USD,134.5,269.0
ALL,810070822026,LP,USD,109.5,219.0
ALL,810070822033,LP,USD,109.5,219.0
ALL,810070822057,LP,USD,109.5,219.0
ALL,810070822064,LP,USD,134.5,269.0
ALL,810070822071,LP,USD,134.5,269.0
ALL,810070822095,LP,USD,109.5,219.0
ALL,840290906350,LP,USD,134.5,269.0
ALL,840290906367,LP,USD,134.5,269.0
ALL,840290906374,LP,USD,134.5,269.0
