Region,CatalogKey,ItemNumber,ColorCode,TagName,TagValue
GLOBAL,ALL,ANGLERCFB,5KF,Product Type,Apparel - Hats
GLOBAL,ALL,ANN210010,210,Product Type,Sunglasses
GLOBAL,ALL,ANN210011,210,Product Type,Sunglasses
GLOBAL,ALL,ANN210030,210,Product Type,Sunglasses
GLOBAL,ALL,ANN210031,210,Product Type,Sunglasses
GLOBAL,ALL,ANN210112,210,Product Type,Sunglasses
GLOBAL,ALL,ANN210113,210,Product Type,Sunglasses
GLOBAL,ALL,ANN210132,210,Product Type,Sunglasses
GLOBAL,ALL,ANN210133,210,Product Type,Sunglasses
GLOBAL,ALL,ANN210616,210,Product Type,Sunglasses
GLOBAL,ALL,ANN210636,210,Product Type,Sunglasses
GLOBAL,ALL,ANN210714,210,Product Type,Sunglasses
GLOBAL,ALL,ANN210734,210,Product Type,Sunglasses
GLOBAL,ALL,ANN210N10,210,Product Type,Sunglasses
GLOBAL,ALL,ANN210N30,210,Product Type,Sunglasses
GLOBAL,ALL,ANN3A1010,3A1,Product Type,Sunglasses
GLOBAL,ALL,ANN3A1011,3A1,Product Type,Sunglasses
GLOBAL,ALL,ANN3A1030,3A1,Product Type,Sunglasses
GLOBAL,ALL,ANN3A1031,3A1,Product Type,Sunglasses
GLOBAL,ALL,ANN3A1112,3A1,Product Type,Sunglasses
GLOBAL,ALL,ANN3A1113,3A1,Product Type,Sunglasses
GLOBAL,ALL,ANN3A1132,3A1,Product Type,Sunglasses
GLOBAL,ALL,ANN3A1133,3A1,Product Type,Sunglasses
GLOBAL,ALL,ANN3A1616,3A1,Product Type,Sunglasses
GLOBAL,ALL,ANN3A1636,3A1,Product Type,Sunglasses
GLOBAL,ALL,ANN3A1714,3A1,Product Type,Sunglasses
GLOBAL,ALL,ANN3A1734,3A1,Product Type,Sunglasses
GLOBAL,ALL,ANN3A1N10,3A1,Product Type,Sunglasses
GLOBAL,ALL,ANN3A1N30,3A1,Product Type,Sunglasses
GLOBAL,ALL,ANN51M010,51M,Product Type,Sunglasses
GLOBAL,ALL,ANN51M011,51M,Product Type,Sunglasses
GLOBAL,ALL,ANN51M030,51M,Product Type,Sunglasses
GLOBAL,ALL,ANN51M031,51M,Product Type,Sunglasses
GLOBAL,ALL,ANN51M112,51M,Product Type,Sunglasses
GLOBAL,ALL,ANN51M113,51M,Product Type,Sunglasses
GLOBAL,ALL,ANN51M132,51M,Product Type,Sunglasses
GLOBAL,ALL,ANN51M133,51M,Product Type,Sunglasses
GLOBAL,ALL,ANN51M616,51M,Product Type,Sunglasses
GLOBAL,ALL,ANN51M636,51M,Product Type,Sunglasses
GLOBAL,ALL,ANN51M714,51M,Product Type,Sunglasses
GLOBAL,ALL,ANN51M734,51M,Product Type,Sunglasses
GLOBAL,ALL,ANN51MN10,51M,Product Type,Sunglasses
GLOBAL,ALL,ANN51MN30,51M,Product Type,Sunglasses
GLOBAL,ALL,ANN9EN010,9EN,Product Type,Sunglasses
GLOBAL,ALL,ANN9EN011,9EN,Product Type,Sunglasses
GLOBAL,ALL,ANN9EN030,9EN,Product Type,Sunglasses
GLOBAL,ALL,ANN9EN031,9EN,Product Type,Sunglasses
GLOBAL,ALL,ANN9EN112,9EN,Product Type,Sunglasses
GLOBAL,ALL,ANN9EN113,9EN,Product Type,Sunglasses
GLOBAL,ALL,ANN9EN132,9EN,Product Type,Sunglasses
GLOBAL,ALL,ANN9EN133,9EN,Product Type,Sunglasses
GLOBAL,ALL,ANN9EN616,9EN,Product Type,Sunglasses
GLOBAL,ALL,ANN9EN636,9EN,Product Type,Sunglasses
GLOBAL,ALL,ANN9EN714,9EN,Product Type,Sunglasses
