Region,ItemNumber,ProductName,StockItemKey,SKU,UPC,ProductPermissionGroup,ColorCode,Color,ColorName,ColorSort,AvailableDate,SizeName,SizeNum,AlternateSize
GLOBAL,ANGLERCFB,BAJIO ANGLERFISH FB 6PNL C,840290927805,ANGLERCFB-5KF-ON SIZE,840290927805,DEFAULT,5KF,BLUE,LIGHT BLUE,1,20260123,ON SIZE,1,
GLOBAL,ANN210010,ANNETTE ANN BLKG GG / 27 004 001,840290937118,ANN210010,840290937118,DEFAULT,210,BLACK,BLACK GLOSS,1,20260123,SMALL,2,
GLOBAL,ANN210011,ANNETTE ANN BLKG BMG / 26 002 002,840290937064,ANN210011,840290937064,DEFAULT,210,BLACK,BLACK GLOSS,1,20260123,SMALL,2,
GLOBAL,ANN210030,ANNETTE ANN BLKG GP /27 004 006,840290937187,ANN210030,840290937187,DEFAULT,210,BLACK,BLACK GLOSS,1,20260123,SMALL,2,
GLOBAL,ANN210031,ANNETTE ANN BLKG BMP / 27 001 001,840290937132,ANN210031,840290937132,DEFAULT,210,BLACK,BLACK GLOSS,1,20260123,SMALL,2,
GLOBAL,ANN210112,ANNETTE ANN BLKG GMG / 26 002 003,840290937071,ANN210112,840290937071,DEFAULT,210,BLACK,BLACK GLOSS,1,20260123,SMALL,2,
GLOBAL,ANN210113,ANNETTE ANN BLKG SMG / 26 005 005,840290937088,ANN210113,840290937088,DEFAULT,210,BLACK,BLACK GLOSS,1,20260123,SMALL,2,
GLOBAL,ANN210132,ANNETTE ANN BLKG GMP / 27 001 004,840290937149,ANN210132,840290937149,DEFAULT,210,BLACK,BLACK GLOSS,1,20260123,SMALL,2,
GLOBAL,ANN210133,ANNETTE ANN BLKG SMP /27 004 003,840290937156,ANN210133,840290937156,DEFAULT,210,BLACK,BLACK GLOSS,1,20260123,SMALL,2,
GLOBAL,ANN210616,ANNETTE ANN BLKG VMG / 26 005 007,840290937101,ANN210616,840290937101,DEFAULT,210,BLACK,BLACK GLOSS,1,20260123,SMALL,2,
GLOBAL,ANN210636,ANNETTE ANN BLKG VMP / 27 004 005,840290937170,ANN210636,840290937170,DEFAULT,210,BLACK,BLACK GLOSS,1,20260123,SMALL,2,
GLOBAL,ANN210714,ANNETTE ANN BLKG RMG / 26 005 006,840290937095,ANN210714,840290937095,DEFAULT,210,BLACK,BLACK GLOSS,1,20260123,SMALL,2,
GLOBAL,ANN210734,ANNETTE ANN BLKG RMP / 27 004 004,840290937163,ANN210734,840290937163,DEFAULT,210,BLACK,BLACK GLOSS,1,20260123,SMALL,2,
GLOBAL,ANN210N10,ANNETTE ANN BLKG CG / 27 004 002,840290937125,ANN210N10,840290937125,DEFAULT,210,BLACK,BLACK GLOSS,1,20260123,SMALL,2,
GLOBAL,ANN210N30,ANNETTE ANN BLKG CP / 27 004 007,840290937194,ANN210N30,840290937194,DEFAULT,210,BLACK,BLACK GLOSS,1,20260123,SMALL,2,
GLOBAL,ANN3A1010,ANNETTE ANNIVORYTORTG GG / 01 001 007,840290946677,ANN3A1010,840290946677,DEFAULT,3A1,IVORY,IVORYROCKG,1,20260123,SMALL,2,
GLOBAL,ANN3A1011,ANNETTE ANNIVORYTORTG BMG / 26 002 001,840290946622,ANN3A1011,840290946622,DEFAULT,3A1,IVORY,IVORYROCKG,1,20260123,SMALL,2,
GLOBAL,ANN3A1030,ANNETTE ANNIVORYTORTG GP / 01 001 007,840290946745,ANN3A1030,840290946745,DEFAULT,3A1,IVORY,IVORYROCKG,1,20260123,SMALL,2,
GLOBAL,ANN3A1031,ANNETTE ANNIVORYTORTG BMP / 01 001 007,840290946691,ANN3A1031,840290946691,DEFAULT,3A1,IVORY,IVORYROCKG,1,20260123,SMALL,2,
GLOBAL,ANN3A1112,ANNETTE ANNIVORYTORTG GMG / 26 004 003,840290946639,ANN3A1112,840290946639,DEFAULT,3A1,IVORY,IVORYROCKG,1,20260123,SMALL,2,
GLOBAL,ANN3A1113,ANNETTE ANNIVORYTORTG SMG / 26 004 006,840290946646,ANN3A1113,840290946646,DEFAULT,3A1,IVORY,IVORYROCKG,1,20260123,SMALL,2,
GLOBAL,ANN3A1132,ANNETTE ANNIVORYTORTG GMP / 01 001 007,840290946707,ANN3A1132,840290946707,DEFAULT,3A1,IVORY,IVORYROCKG,1,20260123,SMALL,2,
GLOBAL,ANN3A1133,ANNETTE ANNIVORYTORTG SMP / 01 001 007,840290946714,ANN3A1133,840290946714,DEFAULT,3A1,IVORY,IVORYROCKG,1,20260123,SMALL,2,
GLOBAL,ANN3A1616,ANNETTE ANNIVORYTORTG VMG / 01 001 007,840290946660,ANN3A1616,840290946660,DEFAULT,3A1,IVORY,IVORYROCKG,1,20260123,SMALL,2,
GLOBAL,ANN3A1636,ANNETTE ANNIVORYTORTG VMP / 01 001 007,840290946738,ANN3A1636,840290946738,DEFAULT,3A1,IVORY,IVORYROCKG,1,20260123,SMALL,2,
GLOBAL,ANN3A1714,ANNETTE ANNIVORYTORTG RMG / 01 001 007,840290946653,ANN3A1714,840290946653,DEFAULT,3A1,IVORY,IVORYROCKG,1,20260123,SMALL,2,
GLOBAL,ANN3A1734,ANNETTE ANNIVORYTORTG RMP / 01 001 007,840290946721,ANN3A1734,840290946721,DEFAULT,3A1,IVORY,IVORYROCKG,1,20260123,SMALL,2,
GLOBAL,ANN3A1N10,ANNETTE ANNIVORYTORTG CG / 01 001 007,840290946684,ANN3A1N10,840290946684,DEFAULT,3A1,IVORY,IVORYROCKG,1,20260123,SMALL,2,
GLOBAL,ANN3A1N30,ANNETTE ANNIVORYTORTG CP / 01 001 007,840290946752,ANN3A1N30,840290946752,DEFAULT,3A1,IVORY,IVORYROCKG,1,20260123,SMALL,2,
GLOBAL,ANN51M010,ANNETTE ANN BLUERAYG GG / 27 005 004,840290937675,ANN51M010,840290937675,DEFAULT,51M,BLUE,BLUE RAY G,1,20260123,SMALL,2,
GLOBAL,ANN51M011,ANNETTE ANN BLUERAYG BMG / 27 001 002,840290937620,ANN51M011,840290937620,DEFAULT,51M,BLUE,BLUE RAY G,1,20260123,SMALL,2,
GLOBAL,ANN51M030,ANNETTE ANN BLUERAYG GP /28 004 003,840290937743,ANN51M030,840290937743,DEFAULT,51M,BLUE,BLUE RAY G,1,20260123,SMALL,2,
GLOBAL,ANN51M031,ANNETTE ANN BLUERAYG BMP / 27 002 001,840290937699,ANN51M031,840290937699,DEFAULT,51M,BLUE,BLUE RAY G,1,20260123,SMALL,2,
GLOBAL,ANN51M112,ANNETTE ANN BLUERAYG GMG / 27 005 001,840290937637,ANN51M112,840290937637,DEFAULT,51M,BLUE,BLUE RAY G,1,20260123,SMALL,2,
GLOBAL,ANN51M113,ANNETTE ANN BLUERAYG SMG / 27 001 003,840290937644,ANN51M113,840290937644,DEFAULT,51M,BLUE,BLUE RAY G,1,20260123,SMALL,2,
GLOBAL,ANN51M132,ANNETTE ANN BLUERAYG GMP / 27 005 006,840290937705,ANN51M132,840290937705,DEFAULT,51M,BLUE,BLUE RAY G,1,20260123,SMALL,2,
GLOBAL,ANN51M133,ANNETTE ANN BLUERAYG SMP /27 005 007,840290937712,ANN51M133,840290937712,DEFAULT,51M,BLUE,BLUE RAY G,1,20260123,SMALL,2,
GLOBAL,ANN51M616,ANNETTE ANN BLUERAYG VMG / 27 005 003,840290937668,ANN51M616,840290937668,DEFAULT,51M,BLUE,BLUE RAY G,1,20260123,SMALL,2,
GLOBAL,ANN51M636,ANNETTE ANN BLUERAYG VMP / 28 004 002,840290937736,ANN51M636,840290937736,DEFAULT,51M,BLUE,BLUE RAY G,1,20260123,SMALL,2,
GLOBAL,ANN51M714,ANNETTE ANN BLUERAYG RMG / 27 005 002,840290937651,ANN51M714,840290937651,DEFAULT,51M,BLUE,BLUE RAY G,1,20260123,SMALL,2,
GLOBAL,ANN51M734,ANNETTE ANN BLUERAYG RMP / 28 004 001,840290937729,ANN51M734,840290937729,DEFAULT,51M,BLUE,BLUE RAY G,1,20260123,SMALL,2,
GLOBAL,ANN51MN10,ANNETTE ANN BLUERAYG CG / 27 005 005,840290937682,ANN51MN10,840290937682,DEFAULT,51M,BLUE,BLUE RAY G,1,20260123,SMALL,2,
GLOBAL,ANN51MN30,ANNETTE ANN BLUERAYG CP / 28 004 004,840290937750,ANN51MN30,840290937750,DEFAULT,51M,BLUE,BLUE RAY G,1,20260123,SMALL,2,
GLOBAL,ANN9EN010,ANNETTE ANN PEACHGLASSM GG / 28 004 007,840290937392,ANN9EN010,840290937392,DEFAULT,9EN,ORANGE,PEACH GLASS M,1,20260123,SMALL,2,
GLOBAL,ANN9EN011,ANNETTE ANN PEACHGLASSM BMG / 28 004 005,840290937347,ANN9EN011,840290937347,DEFAULT,9EN,ORANGE,PEACH GLASS M,1,20260123,SMALL,2,
GLOBAL,ANN9EN030,ANNETTE ANN PEACHGLASSM GP /28 005 007,840290937460,ANN9EN030,840290937460,DEFAULT,9EN,ORANGE,PEACH GLASS M,1,20260123,SMALL,2,
GLOBAL,ANN9EN031,ANNETTE ANN PEACHGLASSM BMP / 28 005 003,840290937415,ANN9EN031,840290937415,DEFAULT,9EN,ORANGE,PEACH GLASS M,1,20260123,SMALL,2,
GLOBAL,ANN9EN112,ANNETTE ANN PEACHGLASSM GMG / 27 002 004,840290937354,ANN9EN112,840290937354,DEFAULT,9EN,ORANGE,PEACH GLASS M,1,20260123,SMALL,2,
GLOBAL,ANN9EN113,ANNETTE ANN PEACHGLASSM SMG / 28 004 006,840290937361,ANN9EN113,840290937361,DEFAULT,9EN,ORANGE,PEACH GLASS M,1,20260123,SMALL,2,
GLOBAL,ANN9EN132,ANNETTE ANN PEACHGLASSM GMP / 28 005 004,840290937422,ANN9EN132,840290937422,DEFAULT,9EN,ORANGE,PEACH GLASS M,1,20260123,SMALL,2,
GLOBAL,ANN9EN133,ANNETTE ANN PEACHGLASSM SMP /28 005 005,840290937439,ANN9EN133,840290937439,DEFAULT,9EN,ORANGE,PEACH GLASS M,1,20260123,SMALL,2,
GLOBAL,ANN9EN616,ANNETTE ANN PEACHGLASSM VMG / 28 005 001,840290937385,ANN9EN616,840290937385,DEFAULT,9EN,ORANGE,PEACH GLASS M,1,20260123,SMALL,2,
GLOBAL,ANN9EN636,ANNETTE ANN PEACHGLASSM VMP / 28 005 006,840290937453,ANN9EN636,840290937453,DEFAULT,9EN,ORANGE,PEACH GLASS M,1,20260123,SMALL,2,
GLOBAL,ANN9EN714,ANNETTE ANN PEACHGLASSM RMG / 27 002 002,840290937378,ANN9EN714,840290937378,DEFAULT,9EN,ORANGE,PEACH GLASS M,1,20260123,SMALL,2,
