RepID,SoldToID
JD1,1000001
HOU,1000001
HOU,1000003
JD1,1000003
HOU,1000004
JD1,1000004
HOU,1000005
SK1,1000005
JD1,1000006
HOU,1000006
HOU,1000007
PS1,1000007
HOU,1000008
JD1,1000008
PS1,1000009
HOU,1000009
HOU,1000010
SK1,1000010
HOU,1000011
JD1,1000011
HOU,1000012
JD1,1000012
JD1,1000013
HOU,1000013
JD1,1000014
HOU,1000014
HOU,1000015
HOU,1000015
HOU,1000016
HOU,1000016
HOU,1000017
HOU,1000017
HOU,1000018
HOU,1000018
HOU,1000019
HOU,1000019
HOU,1000020
HOU,1000020
HOU,1000021
HOU,1000021
HOU,1000022
HOU,1000022
HOU,1000023
HOU,1000023
HOU,1000024
HOU,1000024
HOU,1000025
HOU,1000025
HOU,1000026
HOU,1000026
HOU,1000027
HOU,1000027
HOU,1000028
HOU,1000028
HOU,1000029
HOU,1000029
HOU,1000030
HOU,1000030
HOU,1000031
HOU,1000031
HOU,1000032
HOU,1000032
HOU,1000033
HOU,1000033
HOU,1000034
HOU,1000034
HOU,1000035
HOU,1000035
HOU,1000036
HOU,1000036
HOU,1000037
HOU,1000037
HOU,1000038
HOU,1000038
HOU,1000039
HOU,1000039
HOU,1000040
HOU,1000040
HOU,1000041
HOU,1000041
HOU,1000042
HOU,1000042
HOU,1000043
HOU,1000043
HOU,1000044
HOU,1000044
HOU,1000045
HOU,1000045
HOU,1000046
HOU,1000046
HOU,1000047
DR1,1000047
DR1,1000048
HOU,1000048
DR1,1000049
HOU,1000049
HOU,1000049
HOU,1000050
DR1,1000050
HOU,1000050
HOU,1000051
HOU,1000051
DR1,1000051
HOU,1000052
HOU,1000052
DR1,1000052
DR1,1000053
HOU,1000053
HOU,1000053
HOU,1000054
HOU,1000054
DR1,1000054
JD1,1000055
HOU,1000055
HOU,1000056
PS1,1000056
PS1,1000057
HOU,1000057
JD1,1000058
HOU,1000058
JD1,1000059
HOU,1000059
HOU,1000060
JD1,1000060
JD1,1000061
HOU,1000061
HOU,1000062
JD1,1000062
JD1,1000063
HOU,1000063
JD1,1000064
HOU,1000064
HOU,1000065
JD1,1000065
PS1,1000066
HOU,1000066
HOU,1000067
TD1,1000067
HOU,1000068
JD1,1000068
HOU,1000069
JD1,1000069
JD1,1000070
HOU,1000070
PS1,1000071
HOU,1000071
HOU,1000072
PS1,1000072
PS1,1000073
HOU,1000073
HOU,1000074
JD1,1000074
HOU,1000075
JD1,1000075
JD1,1000076
HOU,1000076
HOU,1000077
HOU,1000077
HOU,1000078
JD1,1000078
HOU,1000079
JD1,1000079
HOU,1000080
JD1,1000080
JD1,1000081
HOU,1000081
HOU,1000082
JD1,1000082
JD1,1000083
HOU,1000083
HOU,1000084
JD1,1000084
JD1,1000085
HOU,1000085
HOU,1000086
JD1,1000086
HOU,1000087
JD1,1000087
JD1,1000088
HOU,1000088
JD1,1000089
HOU,1000089
HOU,1000090
JD1,1000090
HOU,1000091
JD1,1000091
HOU,1000092
JD1,1000092
HOU,1000093
JD1,1000093
HOU,1000094
JD1,1000094
HOU,1000095
GS1,1000095
JD1,1000096
HOU,1000096
JO1,1000097
HOU,1000097
HOU,1000098
JD1,1000098
JD1,1000099
HOU,1000099
JS1,1000100
HOU,1000100
CA1,1000101
HOU,1000101
HOU,1000102
HOU,1000102
HOU,1000103
HOU,1000103
FO1,1000104
HOU,1000104
HM1,1000105
HOU,1000105
HOU,1000106
HM1,1000106
HM1,1000107
HOU,1000107
JD1,1000108
HOU,1000108
HOU,1000109
WO1,1000109
HOU,1000110
HM1,1000110
HOU,1000111
FO1,1000111
JD1,1000112
HOU,1000112
JD1,1000113
HOU,1000113
JD1,1000114
HOU,1000114
HOU,1000115
CK1,1000115
CA1,1000116
HOU,1000116
HOU,1000117
TD1,1000117
CK1,1000118
HOU,1000118
HOU,1000119
TD1,1000119
HOU,1000120
JS1,1000120
TD1,1000121
HOU,1000121
JD1,1000122
HOU,1000122
CA1,1000123
HOU,1000123
TD1,1000124
HOU,1000124
TW2,1000125
HOU,1000125
